Gene Systematic Name	Gene Name	Description
YAL007C	ERP2	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication
YDL018C	ERP3	Protein with similarity to Emp24p and Erv25p; member of the p24 family involved in ER to Golgi transport
YGR029W	ERV1	Flavin-linked sulfhydryl oxidase of the mitochondrial IMS; N-terminus is an intrinsically disordered domain that in the cytosol helps target Erv1p to mitochondria, and in the intermembrane space oxidizes Mia40p as part of a disulfide relay system that promotes intermembrane space retention of imported proteins; functional ortholog of human GFER (ALR); human GFER carrying N-terminal 21 amino acids of Erv1p functionally complements the lethality of the erv1 null mutation
YGR284C	ERV29	Protein localized to COPII-coated vesicles; involved in vesicle formation and incorporation of specific secretory cargo; protein abundance increases in response to DNA replication stress
YDR365C	ESF1	Nucleolar protein involved in pre-rRNA processing; depletion causes severely decreased 18S rRNA levels
YHL010C	ETP1	Protein of unknown function required for growth on ethanol; contains a zinc finger region and has homology to human BRAP2, which is a cytoplasmic protein that binds nuclear localization sequences
YBR026C	ETR1	2-enoyl thioester reductase; member of the medium chain dehydrogenase/reductase family; localized to mitochondria, where it has a probable role in fatty acid synthesis; human MECR functionally complements the respiratory growth defect of the null mutant
YDR518W	EUG1	Protein disulfide isomerase of the endoplasmic reticulum lumen; EUG1 has a paralog, PDI1, that arose from the whole genome duplication; function overlaps with that of Pdi1p; may interact with nascent polypeptides in the ER
YDR261C	EXG2	Exo-1,3-beta-glucanase; involved in cell wall beta-glucan assembly; may be anchored to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor
YOR317W	FAA1	Long chain fatty acyl-CoA synthetase; activates fatty acids with a preference for C12:0-C16:0 chain lengths; role in the competitive import of long-chain fatty acids and sphingoid long-chain bases; accounts for most acyl-CoA synthetase activity; localizes to lipid particles and the plasma membrane; role in sphingolipid-to-glycerolipid metabolism; forms ER foci upon replication stress; faa1 faa4 double null complemented by any of human ACSBG1, ACSL1, 3, 4, 5, 6, SLC27A2, or 4
YKL060C	FBA1	Fructose 1,6-bisphosphate aldolase; required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress; N-terminally propionylated in vivo
YLR377C	FBP1	Fructose-1,6-bisphosphatase; key regulatory enzyme in the gluconeogenesis pathway, required for glucose metabolism; undergoes either proteasome-mediated or autophagy-mediated degradation depending on growth conditions; glucose starvation results in redistribution to the periplasm; interacts with Vid30p
YBR101C	FES1	Hsp70 (Ssa1p) nucleotide exchange factor; required for the release of misfolded proteins from the Hsp70 system to the Ub-proteasome machinery for degradation; cytosolic homolog of Sil1p, which is the nucleotide exchange factor for BiP (Kar2p) in the endoplasmic reticulum; protein abundance increases in response to DNA replication stress
YHR211W	FLO5	Lectin-like cell wall protein (flocculin) involved in flocculation; binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin resistant but heat labile; important for co-flocculation with other yeasts, mediating interaction with specific species; FLO5 has a paralog, FLO1, that arose from a segmental duplication
YIL134W	FLX1	Mitochondrial flavin adenine dinucleotide transporter; FAD is a synthesis product of riboflavin; human homolog SLC25A32 is implicated in multiple acyl-CoA dehydrogenase deficiency (MADD) or glutaric aciduria type II (GAII), and can complement yeast null mutant
YLR077W	FMP25	Protein required for assembly of respiratory complex III; mitochondrial inner membrane protein; required for an early step in assembly of respiratory complex III (cytochrome bc1 complex); mRNA is targeted to mitochondria
YKR009C	FOX2	3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase; multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway; mutation is functionally complemented by human HSD17B4
YNL135C	FPR1	Peptidyl-prolyl cis-trans isomerase (PPIase); binds to FK506 and rapamycin; also binds to the nonhistone chromatin binding protein Hmo1p and may regulate its assembly or function; associates with promoters of ribosomal protein genes; acts as chaperone to prevent protein aggregation; N-terminally propionylated in vivo; mutation is functionally complemented by human FKBP1A
YLL043W	FPS1	Aquaglyceroporin, plasma membrane channel; involved in efflux of glycerol and xylitol, and in transport of acetate, arsenite, and antimonite; key factor in maintaining redox balance by mediating passive diffusion of glycerol; phosphorylated by Hog1p and Slt2p MAPK; deletion improves xylose fermentation; regulated by Rgc1p and Ask10p, which are regulated by Hog1p phosphorylation under osmotic stress; phosphorylation by Ypk1p required to maintain an open state
YOR280C	FSH3	Putative serine hydrolase; likely target of Cyc8p-Tup1p-Rfx1p transcriptional regulation; localizes to cytosol and peroxisomes; similar to S. cerevisiae Fsh1p and Fsh2p and the human candidate tumor suppressor OVCA2
YBL042C	FUI1	High affinity uridine permease, localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress
YCL027W	FUS1	Membrane protein localized to the shmoo tip; required for cell fusion; expression regulated by mating pheromone; proposed to coordinate signaling, fusion, and polarization events required for fusion; potential Cdc28p substrate
YNL133C	FYV6	Protein of unknown function; required for survival upon exposure to K1 killer toxin; proposed to regulate double-strand break repair via non-homologous end-joining
YBR179C	FZO1	Mitofusin, protein involved in mitochondrial outer membrane fusion; role in mitochondrial genome maintenance; efficient tethering and degradation of Fzo1p requires an intact N-terminal GTPase domain; targeted for destruction by the ubiquitin ligase SCF-Mdm30p and the cytosolic ubiquitin-proteasome system; activity regulated by ubiquitylation at conserved lysine residues and by  deubiquitylases Ubp2p and Ubp12p
YLR088W	GAA1	Subunit of the GPI:protein transamidase complex; removes the GPI-anchoring signal and attaches GPI (glycosylphosphatidylinositol) to proteins in the ER; human homolog GPAA1 can complement growth defects of yeast thermosensitive mutant at restrictive temperature
YLR459W	GAB1	Subunit of the glycosylphosphatidylinositol transamidase complex; involved in attachment of glycosylphosphatidylinositol (GPI) anchors to proteins; may have a role in recognition of the attachment signal or the lipid portion of GPI; ortholog of human PIGU; partially complements a class U CHO cell line with a mutation in the PIGU ortholog
YMR250W	GAD1	Glutamate decarboxylase; converts glutamate into gamma-aminobutyric acid (GABA) during glutamate catabolism; involved in response to oxidative stress
YLR081W	GAL2	Galactose permease; required for utilization of galactose; also able to transport glucose
YML051W	GAL80	Transcriptional regulator involved in the repression of GAL genes; involved in the repression of GAL genes in the absence of galactose; inhibits transcriptional activation by Gal4p; inhibition relieved by Gal3p or Gal1p binding
YKR039W	GAP1	General amino acid permease; involved in uptake of all L-amino acids, some D-amino acids, related compounds, toxic analogs and polyamines; regulated by nitrogen source; targeted to vacuole via Vps10p-dependent endosomal vacuolar protein sorting pathway; essential for invasive growth
YLR343W	GAS2	1,3-beta-glucanosyltransferase; involved with Gas4p in spore wall assembly; has similarity to Gas1p
YOR260W	GCD1	Gamma subunit of the translation initiation factor eIF2B; the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression
YPL075W	GCR1	Transcriptional activator of genes involved in glycolysis; DNA-binding protein that interacts and functions with the transcriptional activator Gcr2p; contains a long intron, which allows multiple RNA and protein isoforms with varying expression levels depending on glucose availability
YNL199C	GCR2	Transcriptional activator of genes involved in glycolysis; interacts and functions with the DNA-binding protein Gcr1p
YOR120W	GCY1	Glycerol dehydrogenase; involved in an alternative pathway for glycerol catabolism used under microaerobic conditions; also has mRNA binding activity; member of the aldo-keto reductase (AKR) family; human homolog AKR1B1 can complement yeast null mutant; protein abundance increases in response to DNA replication stress; GCY1 has a paralog, YPR1, that arose from the whole genome duplication
YPR184W	GDB1	Glycogen debranching enzyme; contains glucanotranferase and alpha-1,6-amyloglucosidase activities; required for glycogen degradation; phosphorylated in mitochondria; activity is inhibited by Igd1p; protein abundance increases in response to DNA replication stress
YDL215C	GDH2	NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis
YDL198C	GGC1	Mitochondrial GTP/GDP transporter; essential for mitochondrial genome maintenance; has a role in mitochondrial iron transport; member of the mitochondrial carrier family
YDR309C	GIC2	Rho-family GTPase interacting protein and Cdc42p effector; required with Gic1p for cell polarity establishment and initiation of budding; involved in recruitment of septins to the presumptive bud site; interacts with Cdc42p via the Cdc42/Rac-interactive binding (CRIB) domain and with PI(4,5)P2 via a polybasic region; gic1 gic2 double mutants are defective for polarizing Cdc42p at elevated temperature, so may function both up- and downstream of Cdc42p; regulates mitotic exit
YDR507C	GIN4	Protein kinase involved in bud growth and assembly of the septin ring; proposed to have kinase-dependent and kinase-independent activities; negatively regulates Fpk1p kinase that stimulates phospholipid flippases Dnf1p and Dnf2p; undergoes autophosphorylation; similar to Hsl1p; GIN4 has a paralog, KCC4, that arose from the whole genome duplication
YPL137C	GIP3	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; may interact with ribosomes, based on co-purification experiments; GIP3 has a paralog, HER1, that arose from the whole genome duplication
YDR152W	GIR2	Highly-acidic RWD domain-containing cytoplasmic protein; forms a highly conserved complex with Rbg2p that is responsible for efficient cell growth under amino acid starvation and binds translational activator Gcn1p in dose-dependent manner according to stress level; associates with translating ribosomes; intrinsically unstructured protein whose stability is enhanced upon binding Rbg2p
YEL011W	GLC3	Glycogen branching enzyme, involved in glycogen accumulation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress; glycogen accumulation defect of the null mutant is functionally complemented by human GBE1, which is associated with glycogen storage disease
YER133W	GLC7	Type 1 S/T protein phosphatase (PP1) catalytic subunit; involved in glycogen metabolism, sporulation and mitotic progression; interacts with multiple regulatory subunits; regulates actomyosin ring formation; subunit of CPF; recruited to mating projections by Afr1p interaction; regulates nucleocytoplasmic shuttling of Hxk2p; import into the nucleus is inhibited during spindle assembly checkpoint arrest; involved in dephosphorylating Rps6a/b and Bnr1p
YMR311C	GLC8	Regulatory subunit of protein phosphatase 1 (Glc7p); involved in glycogen metabolism and chromosome segregation; proposed to regulate Glc7p activity via conformational alteration; ortholog of the mammalian protein phosphatase inhibitor 2; protein abundance increases in response to DNA replication stress
YML004C	GLO1	Monomeric glyoxalase I; catalyzes the detoxification of methylglyoxal (a by-product of glycolysis) via condensation with glutathione to produce S-D-lactoylglutathione; required for full activity of O-acetyl homoserine sulfhydrylase, Met17p; expression regulated by methylglyoxal levels and osmotic stress
YHR183W	GND1	6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress; GND1 has a paralog, GND2, that arose from the whole genome duplication
YDR508C	GNP1	Broad specificity amino acid permease; high-affinity glutamine permease; major serine permease with minor contributions from paralog Agp1p; role in serine uptake impacts cellular sphingolipid homeostasis; also transports Leu, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids
YAL056W	GPB2	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication
YDR302W	GPI11	ER membrane protein involved in a late step of GPI anchor assembly; involved in the addition of phosphoethanolamine to the multiply mannosylated glycosylphosphatidylinositol (GPI) intermediate; human PIG-Fp is a functional homolog
YKL152C	GPM1	Tetrameric phosphoglycerate mutase; mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis
YER062C	GPP2	DL-glycerol-3-phosphate phosphatase involved in glycerol biosynthesis; also known as glycerol-1-phosphatase; induced in response to hyperosmotic or oxidative stress, and during diauxic shift; GPP2 has a paralog, GPP1, that arose from the whole genome duplication
YKL026C	GPX1	Phospholipid hydroperoxide glutathione peroxidase; induced by glucose starvation that protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress; glutathione peroxidase activity is neuroprotective in models of Huntington's disease; GPX1 has a paralog, HYR1, that arose from the whole genome duplication
YPL223C	GRE1	Hydrophilin essential in desiccation-rehydration process; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway; GRE1 has a paralog, SIP18, that arose from the whole genome duplication
YLR364W	GRX8	Glutaredoxin that employs a dithiol mechanism of catalysis; monomeric; activity is low and null mutation does not affect sensitivity to oxidative stress; GFP-fusion protein localizes to the cytoplasm; expression strongly induced by arsenic
YJL101C	GSH1	Gamma glutamylcysteine synthetase; catalyzes the first step in glutathione (GSH) biosynthesis; expression induced by oxidants, cadmium, and mercury; protein abundance increases in response to DNA replication stress
YOL049W	GSH2	Glutathione synthetase; catalyzes the ATP-dependent synthesis of glutathione (GSH) from gamma-glutamylcysteine and glycine; induced by oxidative stress and heat shock
YLR293C	GSP1	Ran GTPase; GTP binding protein (mammalian Ranp homolog) involved in the maintenance of nuclear organization, RNA processing and transport; regulated by Srm1p, Rna1p, Yrb1p, Yrb2p, Yrp4p, Yrb30p, Cse1p and Kap95p; GSP1 has a paralog, GSP2, that arose from the whole genome duplication
YOR185C	GSP2	GTP binding protein (mammalian Ranp homolog); involved in the maintenance of nuclear organization, RNA processing and transport; interacts with Kap121p, Kap123p and Pdr6p (karyophilin betas); not required for viability; protein abundance increases in response to DNA replication stress; GSP2 has a paralog, GSP1, that arose from the whole genome duplication
YEL017W	GTT3	Protein of unknown function may be involved in glutathione metabolism; function suggested by computational analysis of large-scale protein-protein interaction data; N- and C-terminal fusion proteins localize to the cell periphery
YHL032C	GUT1	Glycerol kinase; converts glycerol to glycerol-3-phosphate; glucose repression of expression is mediated by Adr1p and Ino2p-Ino4p; derepression of expression on non-fermentable carbon sources is mediated by Opi1p and Rsf1p
YMR192W	GYL1	Putative GTPase activating protein (GAP) with a role in exocytosis; stimulates Gyp5p GAP activity on Ypt1p, colocalizes with Gyp5p at sites of polarized growth; interacts with Gyp5p, Rvs161p, and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; increases in abundance and relocalizes from bud neck to cytoplasm upon DNA replication stress; GYL1 has a paralog, GYP5, that arose from the whole genome duplication
YPL249C	GYP5	GTPase-activating protein (GAP) for yeast Rab family members; involved in ER to Golgi trafficking; exhibits GAP activity toward Ypt1p that is stimulated by Gyl1p, also acts on Sec4p; interacts with Gyl1p, Rvs161p and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; relocalizes from bud neck to cytoplasm upon DNA replication stress; GYP5 has a paralog, GYL1, that arose from the whole genome duplication
YBL021C	HAP3	Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences contributing to both complex assembly and DNA binding
YCL026C-B	HBN1	Protein of unknown function; similar to bacterial nitroreductases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; protein becomes insoluble upon intracellular iron depletion; protein abundance increases in response to DNA replication stress
YNL281W	HCH1	Heat shock protein regulator; binds to Hsp90p and may stimulate ATPase activity; originally identified as a high-copy number suppressor of a HSP90 loss-of-function mutation; role in regulating Hsp90 inhibitor drug sensitivity; GFP-fusion protein localizes to the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress
YBR010W	HHT1	Histone H3; core histone protein required for chromatin assembly, part of heterochromatin-mediated telomeric and HM silencing; one of two identical histone H3 proteins (see HHT2); regulated by acetylation, methylation, and phosphorylation; H3K14 acetylation plays an important role in the unfolding of strongly positioned nucleosomes during repair of UV damage
YNL031C	HHT2	Histone H3; core histone protein required for chromatin assembly, part of heterochromatin-mediated telomeric and HM silencing; one of two identical histone H3 proteins (see HHT1); regulated by acetylation, methylation, and phosphorylation; H3K14 acetylation plays an important role in the unfolding of strongly positioned nucleosomes during repair of UV damage
YMR161W	HLJ1	Co-chaperone for Hsp40p; anchored in the ER membrane; with its homolog Ydj1p promotes ER-associated protein degradation (ERAD) of integral membrane substrates; similar to E. coli DnaJ
YER057C	HMF1	Member of the p14.5 protein family; functionally complements Mmf1p function when targeted to mitochondria; heat shock inducible; high-dosage growth inhibitor; forms a homotrimer in vitro; HMF1 has a paralog, MMF1, that arose from the whole genome duplication
YDR174W	HMO1	Chromatin associated high mobility group (HMG) family member; involved in compacting, bending, bridging and looping DNA; rDNA-binding component that regulates transcription from RNA polymerase I promoters; regulates start site selection of ribosomal protein genes via RNA polymerase II promoters; role in genome maintenance; associates with a 5'-3' DNA helicase and Fpr1p, a prolyl isomerase; relocalizes to the cytosol in response to hypoxia
YCR097W	HMRA1	Silenced copy of a1 at HMR; homeobox corepressor that interacts with Alpha2p to repress haploid-specific gene transcription in diploid cells
YDL125C	HNT1	Adenosine 5'-monophosphoramidase; interacts physically and genetically with CDK and TFIIK subunit Kin28p, and genetically with CAK1; member of histidine triad (HIT) superfamily of nucleotide-binding proteins; protein abundance increases in response to DNA replication stress; human homolog HINT1 can complement yeast hnt1 mutant
YJR075W	HOC1	Alpha-1,6-mannosyltransferase; involved in cell wall mannan biosynthesis; subunit of a Golgi-localized complex that also contains Anp1p, Mnn9p, Mnn11p, and Mnn10p; identified as a suppressor of a cell lysis sensitive pkc1-371 allele
YMR032W	HOF1	F-BAR protein that regulates actin cytoskeleton organization; binds and bundles actin filaments, linking them to septins; required for cytokinesis, actin cable organization, and secretory vesicle trafficking; regulates actomyosin ring dynamics and septin localization; N-term. half controls cell size and actin cable levels, while the C-term. half controls actin cable organization, inhibiting Bnr1p-mediated actin nucleation; forms axial striations/pillars at the bud neck; phosphorylated by Dbf2p
YDR158W	HOM2	Aspartic beta semi-aldehyde dehydrogenase; catalyzes the second step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis
YGL033W	HOP2	Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion
YMR251W-A	HOR7	Protein of unknown function; overexpression suppresses Ca2+ sensitivity of mutants lacking inositol phosphorylceramide mannosyltransferases Csg1p and Csh1p; transcription is induced under hyperosmotic stress and repressed by alpha factor; HOR7 has a paralog, DDR2, that arose from the whole genome duplication
YIL110W	HPM1	AdoMet-dependent methyltransferase; involved in a novel 3-methylhistidine modification of multiple proteins, including ribosomal protein Rpl3p; seven beta-strand MTase family member; null mutant exhibits a weak vacuolar protein sorting defect and caspofungin resistance
YDR138W	HPR1	Subunit of THO/TREX complexes; this complex couple transcription elongation with mitotic recombination and with mRNA metabolism and export, subunit of an RNA Pol II complex; regulates lifespan; involved in telomere maintenance; similar to Top1p
YOR267C	HRK1	Protein kinase; implicated in activation of the plasma membrane H(+)-ATPase Pma1p in response to glucose metabolism; plays a role in ion homeostasis; protein abundance increases in response to DNA replication stress
YLR097C	HRT3	Putative SCF-ubiquitin ligase F-box protein; based on both genetic and physical interactions and sequence similarity; identified in association with Cdc53p, Skp1p and Ubi4 in large and small-scale studies
YMR186W	HSC82	Cytoplasmic chaperone of the Hsp90 family; plays a role in determining prion variants; redundant in function and nearly identical with Hsp82p, and together they are essential; expressed constitutively at 10-fold higher basal levels than HSP82 and induced 2-3 fold by heat shock; contains two acid-rich unstructured regions that promote the solubility of chaperone-substrate complexes; HSC82 has a paralog, HSP82, that arose from the whole genome duplication
YLL026W	HSP104	Disaggregase; heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responds to stresses including heat, ethanol, and sodium arsenite; involved in [PSI+] propagation; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; potentiated Hsp104p variants decrease TDP-43 proteotoxicity by eliminating its cytoplasmic aggregation
YFL014W	HSP12	Plasma membrane protein involved in maintaining membrane organization; involved in maintaining organization during stress conditions; induced by heat shock, oxidative stress, osmostress, stationary phase, glucose depletion, oleate and alcohol; protein abundance increased in response to DNA replication stress and dietary restriction; regulated by the HOG and Ras-Pka pathways; required for dietary restriction-induced lifespan extension
YBR072W	HSP26	Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity
YCR021C	HSP30	Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase
YDR171W	HSP42	Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress
YPL240C	HSP82	Hsp90 chaperone; functionally redundant with Hsc82p; required for pheromone signaling; negative regulator of the Hsf1p-dependent heat shock response with Cpr7p; docks with Tom70p for mitochondrial preprotein delivery; promotes telomerase DNA binding, nucleotide addition; promotes solubility of chaperone-substrate complexes; DNA damage induced nuclear import is Aha1p dependent; protein abundance increases in response to DNA replication stress; human homolog, HSP90AB1, complements null mutant
YOL068C	HST1	NAD(+)-dependent histone deacetylase; essential subunit of the Sum1p/Rfm1p/Hst1p complex required for ORC-dependent silencing and meiotic repression; non-essential subunit of the Set3C deacetylase complex; involved in telomere maintenance; HST1 has a paralog, SIR2, that arose from the whole genome duplication
YPL015C	HST2	Cytoplasmic NAD(+)-dependent protein deacetylase; deacetylation targets are primarily cytoplasmic proteins; member of the silencing information regulator 2 (Sir2) family of NAD(+)-dependent protein deacetylases; modulates nucleolar (rDNA) and telomeric silencing; possesses NAD(+)-dependent histone deacetylase activity in vitro; contains a nuclear export signal (NES); function regulated by its nuclear export
YOR025W	HST3	Sirtuin, histone H3 deacetylase; involved along with Hst4p in telomeric silencing, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism; member of the Sir2 family of NAD(+)-dependent protein deacetylases
YLL058W	HSU1	Inefficient homocysteine synthase; catalyzes de novo homocysteine biosynthesis; capable of catalyzing same reaction as Met17p; affects S-methylmethionine metabolism; similar to Str2p, which is a cystathionine gamma-synthase important in sulfur metabolism; HSU1 is not an essential gene
YOL012C	HTZ1	Histone variant H2AZ; exchanged for histone H2A in nucleosomes by the SWR1 complex; involved in transcriptional regulation through prevention of the spread of silent heterochromatin; Htz1p-containing nucleosomes facilitate RNA Pol II passage by affecting correct assembly and modification status of RNA Pol II elongation complexes and by favoring efficient nucleosome remodeling
YGR268C	HUA1	Cytoplasmic protein containing a zinc finger domain; sequence similarity to that of Type I J-proteins; computational analysis of large-scale protein-protein interaction data suggests a possible role in actin patch assembly
YPL244C	HUT1	Protein with a role in UDP-galactose transport to the Golgi lumen; has similarity to human UDP-galactose transporter UGTrel1, exhibits a genetic interaction with S. cerevisiae ERO1
YFR053C	HXK1	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication
YDR345C	HXT3	Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog, HXT5, that arose from the whole genome duplication
YEL034W	HYP2	Translation elongation factor eIF-5A; required for translation of proteins containing polyproline stretches; structural homolog of bacterial EF-P; undergoes an essential hypusination modification; HYP2 has paralog ANB1 that arose from whole genome duplication; in humans EIF5A variants cause a disorder characterized by variable combinations of developmental delay, microcephaly, micrognathia and dysmorphism; human EIF5A complements inviability of yeast hyp2 anb1 double null mutant
YJR122W	IBA57	Protein involved in incorporating iron-sulfur clusters into proteins; mitochondrial matrix protein; involved in the incorporation of iron-sulfur clusters into mitochondrial aconitase-type proteins; activates the radical-SAM family members Bio2p and Lip5p; interacts with Ccr4p in the two-hybrid system
YMR195W	ICY1	Protein of unknown function; required for viability in rich media of cells lacking mitochondrial DNA; mutants have an invasive growth defect with elongated morphology; induced by amino acid starvation; ICY1 has a paralog, ATG41, that arose from the whole genome duplication
YLR052W	IES3	Subunit of the INO80 chromatin remodeling complex
YEL044W	IES6	Component of the INO80 chromatin remodeling complex; critical for INO80 function; involved in regulation of chromosome segregation and maintenance of normal centromeric chromatin structure; human ortholog INO80C is a member of the human INO80 complex; implicated in DNA repair based on genetic interactions with RAD52 epistasis genes
YFR017C	IGD1	Cytoplasmic protein that inhibits Gdb1p glycogen debranching activity; required for normal intracellular accumulation of glycogen; phosphorylated in vivo; expression increases during wine fermentation; protein abundance increases in response to DNA replication stress; IGD1 has a paralog, YOL024W, that arose from the whole genome duplication
YHR132W-A	IGO2	Protein required for initiation of G0 program; prevents degradation of nutrient-regulated mRNAs via the 5'-3' mRNA decay pathway; phosphorylated by Rim15p; GFP protein localizes to the cytoplasm and nucleus; IGO2 has a paralog, IGO1, that arose from the whole genome duplication
YLR432W	IMD3	Inosine monophosphate dehydrogenase; catalyzes the rate-limiting step in the de novo synthesis of GTP; member of a four-gene family in S. cerevisiae, constitutively expressed; IMD3 has a paralog, IMD4, that arose from the whole genome duplication
YCR046C	IMG1	Mitochondrial ribosomal protein of the large subunit; required for respiration and for maintenance of the mitochondrial genome
YCR071C	IMG2	Mitochondrial ribosomal protein of the large subunit; conserved in metazoa, with similarity to human mitochondrial ribosomal protein MRPL49
YHR046C	INM1	Inositol monophosphatase; involved in biosynthesis of inositol and in phosphoinositide second messenger signaling; INM1 expression increases in the presence of inositol and decreases upon exposure to antibipolar drugs lithium and valproate
YDR123C	INO2	Transcription factor; component of the heteromeric Ino2p/Ino4p basic helix-loop-helix transcription activator that binds inositol/choline-responsive elements (ICREs), required for derepression of phospholipid biosynthetic genes in response to inositol depletion; involved in diauxic shift
YLR247C	IRC20	E3 ubiquitin ligase and putative helicase; involved in synthesis-dependent strand annealing-mediated homologous recombination; ensures precise end-joining along with Srs2p in the Yku70p/Yku80p/Lig4p-dependent NHEJ pathway; controls 2-micron plasmid copy number by regulating the levels of the Flp1p recombinase; localizes to both the mitochondrion and the nucleus; contains a Snf2/Swi2 family ATPase/helicase and a RING finger domain; null mutant displays increased levels of spontaneous Rad52p foci
YJL051W	IRC8	Bud tip localized protein of unknown function; mRNA is targeted to the bud by a She2p dependent transport system; mRNA is cell cycle regulated via Fkh2p, peaking in G2/M phase; null mutant displays increased levels of spontaneous Rad52p foc
YOR226C	ISU2	Mitochondrial protein required for iron-sulfur protein synthesis; performs scaffolding function during Fe/S cluster assembly; involved in Fe-S cluster assembly for both mitochondrial and cytosolic proteins; protein abundance increases under DNA replication stress; ISU2 has a paralog, ISU1, that arose from the whole genome duplication; isu1 isu2 double mutant is inviable; human homolog ISCU implicated in mitochondrial myopathy, can complement isu1 isu2 double mutant
YOR304W	ISW2	ATP-dependent DNA translocase involved in chromatin remodeling; ATPase component that, with Itc1p, forms a complex required for repression of a-specific genes, INO1, and early meiotic genes during mitotic growth; exhibits basal levels of chromatin binding throughout the genome as well as interacts with sequence-specific factors to accurately position nucleosomes in chromatin; targeted by Ume6p- and Sua7p-dependent DNA looping to many loci genome-wide
YKL032C	IXR1	Transcriptional repressor that regulates hypoxic genes during normoxia; involved in the aerobic repression of genes such as COX5b, TIR1, and HEM13; binds DNA intrastrand cross-links formed by cisplatin; HMG (high mobility group box) domain containing protein which binds and bends cisplatin-modified DNA, blocking excision repair; IXR1 has a paralog, ABF2, that arose from the whole genome duplication
